Index,Source,P/C,,,,Count
398,"(Photo: Mark Humphrey, AP)",Professional - ap,,,,1
399,"(Photo: Kevin C. Cox, Getty Images)",Professional - co.,,,,2
400,(Photo: Erik S Lesser/EPA-EFE/REX),Professional - shutterstock,,,,1
401,(Photo: Detroit Pit Crew Dog Rescue),Citizen - facebook,,,,2
402,(Photo: Baton Rouge Police Department/Facebook),Professional - police,,,,1
403,"(Photo: MICHAEL ZARRILLI/EPA-EFE/REX, MICHAEL ZARRILLI/EPA-EFE/REX)",                              ,,,,1
404,(Photo: Google Maps),Professional - google maps,,,,4
405,(Photo: Google),Professional - google,,,,2
406,(Photo: Detroit Free Press screenshot),Professional - press,,,,2
407,(Photo: Al Goldis | For the Lansing State Journal),Professional - state,,,,3
408,Al Lassen/For the Enquirer,Professional - enquirer,,,,8
409,"(Photo: Julian H. Gonzalez, Detroit Free Press)",Professional - press,,,,2
410,"PAUL SANCYA, AP",Professional - AP,,,,3
411,"JULIAN H. GONZALEZ, Detroit Free Press",Professional - press,,,,6
412,"JERRY S. MENDOZA, AP",Professional - AP,,,,1
413,"Chip Somodevilla, DETROIT FREE PRESS",Professional - press,,,,1
414,"JULINA H. GONZALEZ, Detroit Free Press",Professional - press,,,,1
415,(Photo: Marc DesRosiers-USA TODAY Sports),Professional - usa today sports,,,,1
416,"(Photo: Fred Chartrand, AP)",Professional - ap,,,,1
417,"(Photo: Marc DesRosiers, USA TODAY Sports)",Professional - usa today sports,,,,1
418,"Fred Chartrand, AP",Professional - AP,,,,4
